Date,Open,High,Low,Close,Adj Close,Volume
08-04-2019,122.970001,123.019997,122.400002,122.510002,122.510002,4270800
09-04-2019,123.260002,123.349998,123.029999,123.150002,123.150002,4648400
10-04-2019,123.220001,123.769997,123.190002,123.529999,123.529999,6344800
11-04-2019,122.540001,122.75,121.790001,121.949997,121.949997,11694500
12-04-2019,121.959999,122.309998,121.800003,121.830002,121.830002,5272800
15-04-2019,121.199997,121.82,121.099998,121.599998,121.599998,4252400
16-04-2019,120.379997,120.629997,120.190002,120.510002,120.510002,10097800
17-04-2019,120.459999,120.510002,120.199997,120.279999,120.279999,4693900
18-04-2019,120.239998,120.540001,120.150002,120.370003,120.370003,4090400
22-04-2019,120.459999,120.5,120.269997,120.370003,120.370003,2250900
23-04-2019,119.669998,120.199997,119.550003,120.120003,120.120003,5574800
24-04-2019,120.059998,120.720001,120.040001,120.470001,120.470001,4173000
25-04-2019,120.720001,121.099998,120.5,120.57,120.57,4836900
26-04-2019,121.260002,121.669998,121.220001,121.370003,121.370003,6022700
29-04-2019,120.879997,120.910004,120.669998,120.830002,120.830002,4469300
30-04-2019,120.889999,121.360001,120.849998,121.199997,121.199997,4758600
01-05-2019,121.029999,121.550003,120.18,120.400002,120.400002,12331800
02-05-2019,119.690002,120.110001,119.540001,119.940002,119.940002,6759600
03-05-2019,120.559998,121.080002,120.480003,120.650002,120.650002,8414400
06-05-2019,120.610001,121.120003,120.540001,120.809998,120.809998,3479600
07-05-2019,121.019997,121.419998,120.910004,121.209999,121.209999,4010100
